City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
171,Riviere-Au-Renard,CA,48.9957,-64.3971,32.29,91,100,8.59,overcast clouds
172,Faanui,PF,-16.4833,-151.75,75.07,69,100,1.79,overcast clouds
173,Moyale,KE,3.5167,39.0584,69.35,69,19,4.85,few clouds
174,Miyako,JP,39.6367,141.9525,45.79,66,48,12.68,scattered clouds
175,Tautira,PF,-17.7333,-149.15,75.9,80,100,4.5,overcast clouds
176,Mangan,IN,27.5167,88.5333,57.49,46,1,6.38,clear sky
177,Marawi,PH,7.9986,124.2928,67.64,94,63,1.34,broken clouds
178,Paranga,RU,56.7039,49.4047,36.32,96,100,19.28,overcast clouds
179,Tutoia,BR,-2.7619,-42.2744,79.93,83,9,11.07,clear sky
180,Chambas,CU,22.1928,-78.9136,82.13,66,30,10.13,scattered clouds
181,Bardiyah,LY,31.7561,25.0865,64.62,61,0,6.51,clear sky
182,Nuevitas,CU,21.5453,-77.2644,82.9,67,2,7.0,clear sky
183,Saint-Denis,FR,48.9167,2.3333,49.14,97,100,9.22,fog
184,Sitka,US,57.0531,-135.33,48.09,93,100,10.36,mist
185,Svrljig,RS,43.4133,22.1211,49.62,79,2,4.27,clear sky
186,Blackfoot,US,43.1905,-112.345,26.89,79,46,2.77,scattered clouds
187,Tiksi,RU,71.6872,128.8694,-9.0,92,100,5.7,overcast clouds
188,Mnogovershinnyy,RU,53.9353,139.9242,7.03,91,30,2.8,scattered clouds
189,Lingyuan,CN,41.24,119.4011,31.08,54,29,4.72,scattered clouds
190,Provideniya,RU,64.3833,-173.3,12.36,52,0,0.0,clear sky
191,Boende,CD,-0.2167,20.8667,67.23,98,93,1.41,overcast clouds
192,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,20,12.66,few clouds
193,Bahia Honda,CU,22.9036,-83.1592,80.28,67,20,9.17,few clouds
194,Nome,US,64.5011,-165.4064,14.5,84,5,7.52,clear sky
195,Fortuna,US,40.5982,-124.1573,55.92,80,0,3.44,clear sky
196,Cayenne,GF,4.9333,-52.3333,82.44,78,75,4.61,broken clouds
197,Yulara,AU,-25.2406,130.9889,60.96,54,0,14.58,clear sky
198,Whitehorse,CA,60.7161,-135.0538,37.09,69,75,18.41,broken clouds
199,Isiro,CD,2.7739,27.616,65.79,96,91,2.48,overcast clouds
200,Butaritari,KI,3.0707,172.7902,79.93,75,100,13.78,overcast clouds
201,Senno,RU,59.5336,33.9167,31.26,81,10,6.98,clear sky
202,Nanortalik,GL,60.1432,-45.2371,35.6,80,74,9.8,broken clouds
203,Mahebourg,MU,-20.4081,57.7,70.25,78,40,4.61,scattered clouds
204,Mumford,GH,5.2618,-0.759,79.54,80,88,5.84,overcast clouds
205,Verkhnevilyuysk,RU,63.4453,120.3167,-22.81,98,88,5.48,overcast clouds
206,Saurimo,AO,-9.6608,20.3916,64.98,97,100,2.64,light rain
207,Cherskiy,RU,68.75,161.3,-11.13,88,100,2.57,overcast clouds
208,Kamalia,PK,30.7333,72.65,70.5,29,67,7.29,broken clouds
209,Toccoa,US,34.5773,-83.3324,56.79,32,0,3.44,clear sky
210,Sola,VU,-13.8833,167.55,77.67,100,1,0.0,clear sky
211,Acapulco,MX,16.8634,-99.8901,83.23,74,15,3.91,light rain
212,Coffs Harbour,AU,-30.3,153.1333,74.14,73,100,19.57,overcast clouds
213,Kurumkan,RU,54.3,110.3,13.39,85,20,2.46,few clouds
214,Port Elizabeth,ZA,-33.918,25.5701,58.1,89,2,8.55,clear sky
215,Healdsburg,US,38.6105,-122.8692,66.11,42,0,1.61,clear sky
216,Canakkale,TR,40.0833,26.8333,45.36,93,25,5.5,scattered clouds
217,Port Alfred,ZA,-33.5906,26.891,58.17,91,4,10.74,clear sky
218,Talnakh,RU,69.4865,88.3972,-23.78,83,81,3.94,broken clouds
219,Sao Filipe,CV,14.8961,-24.4956,77.25,74,90,9.53,overcast clouds
220,Andenes,NO,69.3143,16.1194,42.78,87,75,13.8,broken clouds
221,Araouane,ML,18.9048,-3.5265,81.39,16,100,9.84,overcast clouds
222,Lagoa,PT,39.05,-27.9833,62.78,76,100,23.64,overcast clouds
223,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,40,3.44,scattered clouds
